"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"37","Otu00625","Cadagno15m-E2",2,15,905000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000102417042195821,92.6874231872183,93,"Nanoarchaeaeota|Woesearchaeia_ge"
"38","Otu00627","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"39","Otu00627","LC-19m-E1",2,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000116150763691271,46.1118531854347,46,"Nanoarchaeaeota|Woesearchaeia_ge"
"40","Otu00639","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"41","Otu00639","LC-3m-E1",2,3,95666.66667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",6.61266325012399e-05,6.3261145095057,6,"Nanoarchaeaeota|Woesearchaeia_ge"
"42","Otu00799","Cadagno7m-E2",2,7,157333.3333,"Archaea","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified",8.76769979395905e-05,13.794514339573,14,"Archaea_unclassified|Archaea_unclassified"
"43","Otu00811","LC-15point5m-E1",2,15.5,585000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000285510349750178,167.023554603854,167,"Nanoarchaeaeota|Woesearchaeia_ge"
"44","Otu00811","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"45","Otu00826","LC-9m-E1",2,9,73000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",8.77847517886143e-05,6.40828688056884,6,"Nanoarchaeaeota|Woesearchaeia_ge"
"46","Otu00840","LC-19m-E1",2,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000116150763691271,46.1118531854347,46,"Nanoarchaeaeota|Woesearchaeia_ge"
"47","Otu00846","LC-15point5m-E1",2,15.5,585000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000285510349750178,167.023554603854,167,"Nanoarchaeaeota|Woesearchaeia_ge"
"48","Otu00846","LC-19m-E1",2,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000116150763691271,46.1118531854347,46,"Nanoarchaeaeota|Woesearchaeia_ge"
"49","Otu00922","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"50","Otu01006","Cadagno15m-E2",2,15,905000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000102417042195821,92.6874231872183,93,"Nanoarchaeaeota|Woesearchaeia_ge"
"51","Otu01019","LC-17m-E1",2,17,434666.6667,"Archaea","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified",0.000117460503905562,51.0561657015329,51,"Archaea_unclassified|Archaea_unclassified"
"52","Otu01041","Cadagno15m-E2",2,15,905000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000102417042195821,92.6874231872183,93,"Nanoarchaeaeota|Woesearchaeia_ge"
"53","Otu01041","LC-19m-E1",2,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000116150763691271,46.1118531854347,46,"Nanoarchaeaeota|Woesearchaeia_ge"
"54","Otu01072","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"55","Otu01080","LC-15point5m-E1",2,15.5,585000,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",0.000285510349750178,167.023554603854,167,"Euryarchaeota|Methanosaeta"
"56","Otu01080","LC-3m-E1",2,3,95666.66667,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",6.61266325012399e-05,6.3261145095057,6,"Euryarchaeota|Methanosaeta"
"57","Otu01158","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"58","Otu01158","LC-19m-E1",2,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000116150763691271,46.1118531854347,46,"Nanoarchaeaeota|Woesearchaeia_ge"
"59","Otu01257","LC-19m-E1",2,19,397000,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1_fa","Marine_Benthic_Group_D_and_DHVEG-1_ge",0.000116150763691271,46.1118531854347,46,"Euryarchaeota|Marine_Benthic_Group_D_and_DHVEG-1_ge"
"60","Otu01370","LC-19m-E1",2,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000116150763691271,46.1118531854347,46,"Nanoarchaeaeota|Woesearchaeia_ge"
