"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"36","Otu00040","LC-3m-E1",1115,3,95666.66667,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","alfV","alfV-A",0.0368655976194412,3526.80883904943,3527,"Proteobacteria|alfV-A"
"37","Otu00042","LC-11m-E1",1023,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0413684338226374,4316.10659411622,4316,"Cyanobacteria|Chloroplast_ge"
"38","Otu00014","LC-11m-E1",1002,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",0.0405192284362489,4227.506165498,4228,"Actinobacteria|acI_unclassified"
"39","Otu00009","Cadagno7m-E2",936,7,157333.3333,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",0.0410328350357284,6455.83271092017,6456,"Verrucomicrobia|uncultured_ge"
"40","Otu00007","LC-5m-E1",920,5,86666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.0651604221262129,5647.23658448899,5647,"Actinobacteria|acI-A"
"41","Otu00019","LC-11m-E1",901,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",0.0364349549112378,3801.38029452465,3801,"Bacteroidetes|unclassified"
"42","Otu00026","LC-9m-E1",874,9,73000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",0.0383619365316245,2800.42136680859,2800,"Proteobacteria|betIV-A"
"43","Otu00015","LC-3m-E1",870,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.0287650851380393,2751.85981163498,2752,"Actinobacteria|acI-A"
"44","Otu00033","LC-13m-E1",866,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0518407662376534,4942.15304781682,4942,"Cyanobacteria|Chloroplast_ge"
"45","Otu00015","Cadagno7m-E2",865,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.0379203016088729,5966.12745186533,5966,"Actinobacteria|acI-A"
"46","Otu00022","LC-3m-E1",849,3,95666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",0.0280707554967763,2685.43560928517,2685,"Bacteroidetes|bacI-A"
"47","Otu00006","Cadagno15m-E2",806,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.041274068004916,37353.031544449,37353,"Cyanobacteria|Chloroplast_ge"
"48","Otu00031","LC-3m-E1",790,3,95666.66667,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","acIV","acIV-A",0.0261200198379897,2498.81523125475,2499,"Actinobacteria|acIV-A"
"49","Otu00038","LC-9m-E1",764,9,73000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-A",0.0335337751832507,2447.9655883773,2448,"Proteobacteria|betI-A"
"50","Otu00012","Cadagno15m-E2",763,15,905000,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",0.0390721015977059,35360.2519459238,35360,"Firmicutes|Erysipelotrichaceae_unclassified"
"51","Otu00014","Cadagno7m-E2",757,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",0.033185743720135,5221.22367752839,5221,"Actinobacteria|acI_unclassified"
"52","Otu00039","Cadagno7m-E2",755,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Luna1","Luna1-A",0.0330980667221954,5207.42916318881,5207,"Actinobacteria|Luna1-A"
