OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,cells_ml
Otu00040,LC-3m-E1,0.036893654,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,3529
Otu00019,LC-11m-E1,0.036455594,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,3804
Otu00037,LC-13m-E1,0.036020378,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,uncultured,3434
Otu00015,LC-5m-E1,0.034846661,5,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,3020
Otu00038,LC-9m-E1,0.033570613,9,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,2451
Otu00013,LC-19m-E1,0.033407312,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,13263
Otu00022,LC-5m-E1,0.033288477,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,2885
Otu00014,Cadagno7m-E2,0.033200298,7,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,5224
Otu00039,Cadagno7m-E2,0.033112583,7,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,5210
Otu00020,LC-15point5m-E1,0.032932417,15.5,585000,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,19265
Otu00005,LC-15point5m-E1,0.032502864,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,19014
Otu00036,Cadagno7m-E2,0.032410859,7,157333.3333,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,5099
Otu00007,LC-13m-E1,0.030206773,13,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,2880
Otu00022,LC-9m-E1,0.030143246,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,2200
Otu00022,LC-11m-E1,0.030062715,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,3137
