OTU,Sample,OTU Count,Depth,Average cells/ml,Kingdom,Phylum,Class,Order,Family,Genus,OTU Relative Abundance,Absolute Abundance,Absolute Abundance round off,Phylum|Genus
Otu00473,LC-11m-E1,2,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.09E-05,8.438136059,8,Nanoarchaeaeota|Woesearchaeia_ge
Otu01920,LC-11m-E1,2,11,104333.3333,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,8.09E-05,8.438136059,8,Archaea_unclassified|Archaea_unclassified
Otu02077,LC-11m-E1,2,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.09E-05,8.438136059,8,Nanoarchaeaeota|Woesearchaeia_ge
Otu00326,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu01383,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu02057,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu02682,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu02698,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu02735,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu02743,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
Otu02745,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.04E-05,4.219068029,4,Nanoarchaeaeota|Woesearchaeia_ge
