OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Abundance_P,AA_Phylum
Otu00012,LC-15point5m-E1,0.054941902,15.5,Chemocline,585000,Bacteria,Firmicutes,5.494190217,32141.01277
Otu00072,LC-15point5m-E1,0.039305695,15.5,Chemocline,585000,Bacteria,Patescibacteria,3.930569502,22993.83159
Otu00009,LC-15point5m-E1,0.032706929,15.5,Chemocline,585000,Bacteria,Verrucomicrobia,3.27069287,19133.55329
Otu00069,LC-15point5m-E1,0.012193373,15.5,Chemocline,585000,Bacteria,Acidobacteria,1.219337254,7133.122938
Otu00092,LC-15point5m-E1,0.010328504,15.5,Chemocline,585000,Bacteria,Kiritimatiellaeota,1.03285038,6042.174724
Otu00141,LC-15point5m-E1,0.008320184,15.5,Chemocline,585000,Bacteria,Epsilonbacteraeota,0.832018362,4867.307416
Otu00066,LC-15point5m-E1,0.008033281,15.5,Chemocline,585000,Bacteria,Planctomycetes,0.803328073,4699.46923
Otu00100,LC-15point5m-E1,0.007459475,15.5,Chemocline,585000,Bacteria,Spirochaetes,0.745947497,4363.792856
Otu00218,LC-15point5m-E1,0.006024961,15.5,Chemocline,585000,Bacteria,Bacteria_unclassified,0.602496055,3524.601922
Otu00059,LC-15point5m-E1,0.005307703,15.5,Chemocline,585000,Bacteria,Chloroflexi,0.530770334,3105.006455
Otu00139,LC-15point5m-E1,0.003155932,15.5,Chemocline,585000,Bacteria,Omnitrophicaeota,0.315593172,1846.220055
Otu00272,LC-15point5m-E1,0.001291063,15.5,Chemocline,585000,Bacteria,Lentisphaerae,0.129106298,755.2718405
Otu00238,LC-15point5m-E1,0.001147612,15.5,Chemocline,585000,Bacteria,Cloacimonetes,0.114761153,671.3527471
Otu00028,LC-15point5m-E1,0.000717257,15.5,Chemocline,585000,Bacteria,Armatimonadetes,0.071725721,419.5954669
Otu00001,LC-17m-E1,0.342955164,17,Monimolimnion,434666.6667,Bacteria,Proteobacteria,34.29551638,149071.1779
Otu00003,LC-17m-E1,0.247072045,17,Monimolimnion,434666.6667,Bacteria,Bacteroidetes,24.70720454,107393.9824
Otu00006,LC-17m-E1,0.135395717,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,13.53957175,58852.00521
Otu00012,LC-17m-E1,0.060629362,17,Monimolimnion,434666.6667,Bacteria,Firmicutes,6.062936236,26353.56284
Otu00002,LC-17m-E1,0.058618242,17,Monimolimnion,434666.6667,Bacteria,Actinobacteria,5.861824204,25479.39588
Otu00009,LC-17m-E1,0.046078315,17,Monimolimnion,434666.6667,Bacteria,Verrucomicrobia,4.607831539,20028.70776
Otu00072,LC-17m-E1,0.031408967,17,Monimolimnion,434666.6667,Bacteria,Patescibacteria,3.140896723,13652.43109
Otu00066,LC-17m-E1,0.016266414,17,Monimolimnion,434666.6667,Bacteria,Planctomycetes,1.626641429,7070.468079
Otu00069,LC-17m-E1,0.010410505,17,Monimolimnion,434666.6667,Bacteria,Acidobacteria,1.041050515,4525.099571
Otu00100,LC-17m-E1,0.010351355,17,Monimolimnion,434666.6667,Bacteria,Spirochaetes,1.035135455,4499.388778
Otu00059,LC-17m-E1,0.009996451,17,Monimolimnion,434666.6667,Bacteria,Chloroflexi,0.999645096,4345.124019
Otu00141,LC-17m-E1,0.008754288,17,Monimolimnion,434666.6667,Bacteria,Epsilonbacteraeota,0.875428842,3805.197366
Otu00092,LC-17m-E1,0.00692062,17,Monimolimnion,434666.6667,Bacteria,Kiritimatiellaeota,0.69206199,3008.162783
Otu00218,LC-17m-E1,0.006743168,17,Monimolimnion,434666.6667,Bacteria,Bacteria_unclassified,0.674316811,2931.030404
