OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance (percentage),Absolute_Abundance_Genus
Otu00323,LC-17m-E1,0.000532355,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.053235538,231.3971371
Otu00052,LC-17m-E1,0.000414054,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.041405418,179.9755511
Otu00342,LC-17m-E1,0.000414054,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.041405418,179.9755511
Otu00475,LC-17m-E1,0.000414054,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.041405418,179.9755511
Otu00042,LC-17m-E1,0.000295753,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.029575299,128.5539651
Otu00006,LC-19m-E1,0.089489384,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,8.94893841,35527.28549
Otu00033,LC-19m-E1,0.007896122,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.789612213,3134.760484
Otu00286,LC-19m-E1,0.001228286,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.122828566,487.6294087
Otu00323,LC-19m-E1,0.000526408,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.052640814,208.9840323
Otu00342,LC-19m-E1,0.000526408,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.052640814,208.9840323
Otu00475,LC-19m-E1,0.000350939,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.035093876,139.3226882
