"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Abundance_P","AA_Genus","Phylum_Genus"
"82","Otu00009","LC-3m-E1",0.0505261068096089,3,95666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",5.05261068096089,4833.66421828767,"Verrucomicrobia|uncultured_ge"
"84","Otu00009","LC-5m-E1",0.0460372547630852,5,86666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",4.60372547630852,3989.89541295417,"Verrucomicrobia|uncultured_ge"
"266","Otu00045","LC-5m-E1",0.0453289893051916,5,86666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",4.53289893051916,3928.51240660103,"Bacteroidetes|unclassified"
"60","Otu00006","LC-3m-E1",0.0449341539276024,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",4.49341539276024,4298.70072589041,"Cyanobacteria|Chloroplast_ge"
"140","Otu00019","LC-5m-E1",0.0443374176641405,5,86666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",4.43374176641405,3842.57619770664,"Bacteroidetes|unclassified"
"194","Otu00031","LC-5m-E1",0.0435583256604575,5,86666.66667,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","acIV","acIV-A",4.35583256604575,3775.05489071818,"Actinobacteria|acIV-A"
"122","Otu00017","LC-3m-E1",0.0433459069551982,3,95666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_ge",4.33459069551982,4146.75843219178,"Verrucomicrobia|Pedosphaeraceae_ge"
"188","Otu00028","LC-5m-E1",0.043062539839932,5,86666.66667,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",4.3062539839932,3732.08678627098,"Armatimonadetes|Armatimonas"
"179","Otu00026","LC-3m-E1",0.0430150221692807,3,95666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",4.30150221692807,4115.10378767123,"Proteobacteria|betIV-A"
"262","Otu00045","LC-3m-E1",0.0421216332473033,3,95666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",4.21216332473033,4029.63624746575,"Bacteroidetes|unclassified"
"242","Otu00039","Cadagno7m-E2",0.0416666666666667,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Luna1","Luna1-A",4.16666666666667,6555.55555416667,"Actinobacteria|Luna1-A"
"98","Otu00012","LC-15point5m-E1",0.0408836608807919,15.5,585000,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",4.08836608807919,23916.9416152632,"Firmicutes|Erysipelotrichaceae_unclassified"
"185","Otu00028","LC-3m-E1",0.0405995632320826,3,95666.66667,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",4.05995632320826,3884.02488267123,"Armatimonadetes|Armatimonas"
"111","Otu00014","LC-11m-E1",0.0405438213158534,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",4.05438213158534,4230.07202260257,"Actinobacteria|acI_unclassified"
"169","Otu00025","LC-3m-E1",0.0403017669247568,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acTH1","acTH1-A",4.03017669247568,3855.53570260274,"Actinobacteria|acTH1-A"
"51","Otu00006","LC-5m-E1",0.0400169983709894,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",4.00169983709894,3468.13985895248,"Cyanobacteria|Chloroplast_ge"
"99","Otu00012","LC-17m-E1",0.0399266532591979,17,434666.6667,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",3.99266532591979,17354.7852846623,"Firmicutes|Erysipelotrichaceae_unclassified"
"178","Otu00026","LC-9m-E1",0.039862875225245,9,73000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",3.9862875225245,2909.98989144289,"Proteobacteria|betIV-A"
"167","Otu00025","LC-5m-E1",0.0393795594588852,5,86666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acTH1","acTH1-A",3.93795594588852,3412.89515323465,"Actinobacteria|acTH1-A"
"96","Otu00012","LC-19m-E1",0.0393051412528514,19,397000,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",3.93051412528514,15604.141077382,"Firmicutes|Erysipelotrichaceae_unclassified"
"95","Otu00012","Cadagno15m-E2",0.0391723996303522,15,905000,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",3.91723996303522,35451.0216654687,"Firmicutes|Erysipelotrichaceae_unclassified"
"36","Otu00004","LC-13m-E1",0.0387266950422637,13,95333.33333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",3.87266950422637,3691.94492723338,"Bacteroidetes|Lentimicrobiaceae_ge"
"173","Otu00026","LC-13m-E1",0.0383070559318986,13,95333.33333,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",3.83070559318986,3651.93933204664,"Proteobacteria|betIV-A"
"17","Otu00002","LC-13m-E1",0.0379473652658713,13,95333.33333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",3.79473652658714,3617.64882188658,"Actinobacteria|acI-B"
"254","Otu00040","LC-3m-E1",0.0368936536298061,3,95666.66667,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","alfV","alfV-A",3.68936536298061,3529.4928640411,"Proteobacteria|alfV-A"
"223","Otu00037","LC-13m-E1",0.0360290150470595,13,95333.33333,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","uncultured",3.60290150470595,3434.76610103291,"Proteobacteria|uncultured"
"134","Otu00019","Cadagno7m-E2",0.0354824561403509,7,157333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",3.54824561403509,5582.57309823246,"Bacteroidetes|unclassified"
"142","Otu00020","LC-15point5m-E1",0.0350021517716253,15.5,585000,"Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium",3.50021517716253,20476.2587864008,"Bacteroidetes|Chlorobium"
"135","Otu00019","LC-9m-E1",0.0346767459236145,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",3.46767459236145,2531.40245242386,"Bacteroidetes|unclassified"
"238","Otu00038","LC-9m-E1",0.0345009449303389,9,73000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-A",3.45009449303389,2518.56897991474,"Proteobacteria|betI-A"
