Press_CTD1_29,Depth_m_CTD1_29,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,pH_CTD1_29
1.999,4.899,15.799,0.135,0.613,0.285,10.043,9.36
1.999,4.899,15.799,0.135,0.643,0.377,10.037,9.36
2.065,4.965,15.798,0.135,0.643,0.162,10.034,9.36
2.081,4.981,15.798,0.135,0.705,0.162,10.033,9.36
2.065,4.965,15.796,0.135,0.705,0.1,10.044,9.36
2.097,4.997,15.797,0.135,0.705,0.193,10.046,9.36
2.114,5.014,15.796,0.135,0.705,0.131,10.046,9.35
2.179,5.079,15.797,0.135,0.705,0.131,10.054,9.35
2.196,5.096,15.798,0.135,0.705,0.315,10.064,9.35
2.212,5.112,15.797,0.135,0.705,0.162,10.064,9.35
2.261,5.161,15.795,0.135,0.705,0.162,10.061,9.35
2.327,5.227,15.79,0.135,0.705,0.1,10.051,9.35
2.392,5.292,15.786,0.135,0.705,0.1,10.05,9.35
2.359,5.259,15.781,0.135,0.674,0.1,10.05,9.35
2.376,5.276,15.775,0.135,0.705,0.07,10.062,9.35
2.376,5.276,15.77,0.135,0.735,0.07,10.069,9.35
2.441,5.341,15.764,0.135,0.735,0.1,10.07,9.35
2.474,5.374,15.759,0.135,0.705,0.1,10.068,9.35
2.458,5.358,15.754,0.135,0.766,0.1,10.061,9.35
2.49,5.39,15.749,0.135,0.858,0.1,10.057,9.35
2.589,5.489,15.745,0.134,0.889,0.1,10.056,9.34
2.572,5.472,15.73,0.134,0.919,0.131,10.069,9.34
2.605,5.505,15.691,0.134,0.889,0.1,10.073,9.34
2.605,5.505,15.635,0.135,0.858,0.07,10.074,9.33
2.605,5.505,15.567,0.135,0.827,0.07,10.067,9.33
2.622,5.522,15.518,0.135,0.827,0.07,10.079,9.33
2.654,5.554,15.511,0.135,0.827,0.1,10.076,9.32
2.703,5.603,15.527,0.134,0.889,0.07,10.075,9.32
2.72,5.62,15.545,0.134,0.981,0.07,10.06,9.31
2.753,5.653,15.558,0.134,1.011,0.07,10.052,9.31
2.753,5.653,15.565,0.133,0.981,0.1,10.049,9.3
2.818,5.718,15.567,0.133,0.95,0.07,10.047,9.3
2.818,5.718,15.561,0.133,0.919,0.07,10.036,9.3
2.851,5.751,15.554,0.133,0.889,0.07,10.032,9.29
2.884,5.784,15.547,0.133,0.858,0.07,10.032,9.29
2.949,5.849,15.537,0.134,0.858,0.07,9.978,9.28
2.982,5.882,15.522,0.134,0.858,0.07,9.958,9.28
2.966,5.866,15.507,0.134,0.889,0.07,9.952,9.27
3.031,5.931,15.494,0.134,0.889,0.07,9.933,9.27
3.064,5.964,15.481,0.134,0.889,0.07,9.903,9.27
3.048,5.948,15.466,0.134,0.858,0.07,9.894,9.26
3.097,5.997,15.45,0.134,0.858,0.07,9.892,9.26
3.113,6.013,15.433,0.134,0.827,0.07,9.883,9.25
3.146,6.046,15.414,0.134,0.827,0.07,9.879,9.25
3.228,6.128,15.394,0.134,0.827,0.1,9.877,9.24
3.244,6.144,15.371,0.134,0.827,0.07,9.868,9.24
3.244,6.144,15.361,0.134,0.797,0.07,9.863,9.23
3.31,6.21,15.355,0.134,0.766,0.07,9.859,9.23
3.293,6.193,15.345,0.133,0.735,0.07,9.859,9.23
3.342,6.242,15.333,0.133,0.705,0.07,9.854,9.22
3.31,6.21,15.318,0.133,0.705,0.07,9.85,9.22
3.392,6.292,15.302,0.133,0.705,0.07,9.847,9.21
3.392,6.292,15.289,0.134,0.674,0.07,9.827,9.21
3.424,6.324,15.273,0.134,0.705,0.07,9.793,9.2
3.457,6.357,15.256,0.134,0.705,0.07,9.781,9.2
3.49,6.39,15.237,0.134,0.705,0.07,9.781,9.19
3.555,6.455,15.21,0.134,0.705,0.07,9.767,9.18
3.588,6.488,15.185,0.134,0.674,0.07,9.76,9.18
3.588,6.488,15.156,0.134,0.674,0.1,9.757,9.17
3.588,6.488,15.129,0.134,0.674,0.07,9.729,9.16
3.637,6.537,15.105,0.134,0.735,0.07,9.703,9.15
3.654,6.554,15.086,0.134,0.797,0.1,9.693,9.14
3.687,6.587,15.068,0.134,0.797,0.1,9.692,9.13
3.736,6.636,15.051,0.134,0.797,0.07,9.636,9.13
3.768,6.668,15.032,0.135,0.797,0.1,9.615,9.12
3.801,6.701,15.012,0.135,0.797,0.1,9.609,9.11
3.818,6.718,14.993,0.135,0.766,0.1,9.589,9.1
3.85,6.75,14.975,0.136,0.766,0.07,9.562,9.09
3.883,6.783,14.955,0.136,0.797,0.07,9.553,9.07
3.965,6.865,14.94,0.136,0.827,0.315,9.551,9.06
3.949,6.849,14.923,0.136,0.827,0.162,9.473,9.05
4.014,6.914,14.903,0.137,0.889,0.131,9.452,9.03
4.031,6.931,14.882,0.137,0.919,0.1,9.446,9.02
4.047,6.947,14.862,0.137,0.919,0.1,9.423,9.01
4.08,6.98,14.845,0.137,0.95,0.1,9.404,9
4.129,7.029,14.829,0.137,0.95,0.1,9.397,8.98
4.145,7.045,14.814,0.137,0.981,0.1,9.395,8.97
4.178,7.078,14.799,0.137,1.011,0.1,9.318,8.95
4.227,7.127,14.785,0.137,1.073,0.1,9.289,8.94
4.244,7.144,14.767,0.138,1.256,0.1,9.281,8.92
4.227,7.127,14.754,0.138,1.318,0.1,9.194,8.91
4.293,7.193,14.738,0.138,1.379,0.1,9.141,8.9
4.326,7.226,14.724,0.138,1.41,0.1,9.129,8.88
4.342,7.242,14.709,0.139,1.471,0.131,9.123,8.87
4.424,7.324,14.695,0.14,1.594,0.1,9.017,8.85
4.473,7.373,14.673,0.141,1.655,0.131,8.99,8.84
4.522,7.422,14.627,0.142,1.686,0.162,8.982,8.82
4.522,7.422,14.57,0.143,1.716,0.131,8.934,8.81
4.539,7.439,14.511,0.143,1.747,0.131,8.891,8.79
4.555,7.455,14.455,0.144,1.808,0.131,8.878,8.78
4.588,7.488,14.41,0.144,1.9,0.162,8.875,8.76
4.653,7.553,14.376,0.144,2.084,0.131,8.703,8.74
4.735,7.635,14.363,0.145,2.176,0.131,8.668,8.73
4.784,7.684,14.345,0.145,2.207,0.131,8.661,8.72
4.752,7.652,14.327,0.145,2.238,0.131,8.541,8.71
4.784,7.684,14.311,0.146,2.268,0.162,8.47,8.69
4.784,7.684,14.295,0.146,2.33,0.162,8.45,8.68
4.833,7.733,14.28,0.146,2.544,0.162,8.442,8.66
4.801,7.701,14.268,0.146,2.789,0.162,8.293,8.65
4.833,7.733,14.256,0.148,2.973,0.162,8.252,8.64
4.883,7.783,14.199,0.151,3.157,0.162,8.242,8.63
4.915,7.815,14.109,0.153,3.28,0.193,8.155,8.61
4.965,7.865,14.015,0.154,3.372,0.193,8.079,8.6
4.948,7.848,13.901,0.155,3.525,0.193,8.054,8.59
5.046,7.946,13.828,0.155,3.648,0.162,7.972,8.58
5.03,7.93,13.767,0.155,3.679,0.285,7.797,8.56
5.03,7.93,13.715,0.155,3.709,0.684,7.749,8.55
5.079,7.979,13.683,0.154,3.709,0.315,7.738,8.54
5.079,7.979,13.675,0.154,3.709,0.223,7.554,8.53
5.128,8.028,13.681,0.154,3.709,0.223,7.451,8.52
5.161,8.061,13.683,0.155,3.801,0.193,7.425,8.52
5.194,8.094,13.673,0.157,3.924,0.193,7.411,8.51
5.227,8.127,13.65,0.157,4.077,0.193,7.215,8.5
5.21,8.11,13.615,0.159,4.322,0.193,7.166,8.49
5.243,8.143,13.538,0.162,4.568,0.223,7.155,8.47
5.292,8.192,13.467,0.164,4.844,0.223,7.03,8.46
5.309,8.209,13.395,0.165,4.997,0.193,6.983,8.45
5.325,8.225,13.347,0.165,5.058,0.223,6.971,8.44
5.374,8.274,13.316,0.165,5.15,0.223,6.932,8.43
5.407,8.307,13.291,0.165,5.15,0.254,6.868,8.42
5.407,8.307,13.271,0.165,5.119,0.438,6.847,8.42
5.472,8.372,13.253,0.165,5.119,0.285,6.843,8.41
5.505,8.405,13.243,0.164,5.242,0.254,6.783,8.4
5.587,8.487,13.225,0.165,5.395,0.223,6.748,8.39
5.603,8.503,13.184,0.167,5.549,0.193,6.738,8.38
5.587,8.487,13.131,0.169,5.702,0.193,6.727,8.38
5.669,8.569,13.064,0.171,5.763,0.223,6.572,8.37
5.653,8.553,13.021,0.172,5.794,0.254,6.549,8.36
5.718,8.618,12.979,0.173,5.855,0.223,6.545,8.35
5.735,8.635,12.938,0.173,6.009,0.223,6.323,8.34
5.751,8.651,12.903,0.174,6.284,0.285,6.24,8.34
5.767,8.667,12.871,0.174,6.499,0.254,6.218,8.33
5.833,8.733,12.842,0.175,6.56,0.223,6.135,8.32
5.8,8.7,12.813,0.176,6.591,0.285,5.968,8.32
5.833,8.733,12.784,0.176,6.714,0.285,5.926,8.31
5.882,8.782,12.754,0.177,6.806,0.592,5.917,8.31
5.915,8.815,12.721,0.178,6.898,0.377,5.756,8.3
5.931,8.831,12.685,0.179,6.959,0.315,5.67,8.29
5.964,8.864,12.63,0.18,7.174,0.285,5.646,8.29
5.964,8.864,12.58,0.181,7.327,0.285,5.545,8.28
5.997,8.897,12.528,0.182,7.48,0.315,5.444,8.27
6.013,8.913,12.48,0.182,7.603,0.285,5.417,8.27
6.046,8.946,12.435,0.183,7.817,0.254,5.412,8.26
6.046,8.946,12.388,0.184,8.032,0.285,5.299,8.26
6.144,9.044,12.333,0.185,8.216,0.254,5.258,8.25
6.161,9.061,12.261,0.187,8.369,0.315,5.247,8.25
6.193,9.093,12.163,0.189,8.553,0.285,5.199,8.24
6.177,9.077,12.041,0.19,8.706,0.285,5.127,8.24
6.193,9.093,11.903,0.191,8.921,0.285,5.104,8.23
6.259,9.159,11.731,0.192,9.136,0.315,5.098,8.22
6.292,9.192,11.626,0.192,9.32,0.5,5.025,8.22
6.275,9.175,11.532,0.192,9.534,0.346,5.001,8.21
6.324,9.224,11.446,0.193,9.749,0.531,4.995,8.21
6.357,9.257,11.361,0.193,9.902,0.469,4.979,8.21
