,OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Abundance_P,AA_Phylum
20,Otu00002,LC-3m-E1,0.353715836,3,95666.66667,Bacteria,Actinobacteria,35.37158361,33838.81499
26,Otu00003,LC-3m-E1,0.214909668,3,95666.66667,Bacteria,Bacteroidetes,21.49096685,20559.69162
7,Otu00001,LC-3m-E1,0.204685329,3,95666.66667,Bacteria,Proteobacteria,20.46853286,19581.5631
42,Otu00009,LC-3m-E1,0.127853881,3,95666.66667,Bacteria,Verrucomicrobia,12.78538813,12231.35464
32,Otu00006,LC-3m-E1,0.054662167,3,95666.66667,Bacteria,Cyanobacteria,5.466216663,5229.347275
69,Otu00028,LC-3m-E1,0.040599563,3,95666.66667,Bacteria,Armatimonadetes,4.059956323,3884.024883
79,Otu00059,LC-3m-E1,0.001422805,3,95666.66667,Bacteria,Chloroflexi,0.142280458,136.1149714
156,Otu00218,LC-3m-E1,0.001290451,3,95666.66667,Bacteria,Bacteria_unclassified,0.129045067,123.4531136
11,Otu00002,LC-5m-E1,0.380905163,5,86666.66667,Bacteria,Actinobacteria,38.09051633,33011.78082
21,Otu00003,LC-5m-E1,0.221757915,5,86666.66667,Bacteria,Bacteroidetes,22.17579149,19219.01929
47,Otu00009,LC-5m-E1,0.159572208,5,86666.66667,Bacteria,Verrucomicrobia,15.95722077,13829.59133
5,Otu00001,LC-5m-E1,0.142219704,5,86666.66667,Bacteria,Proteobacteria,14.22197039,12325.70768
34,Otu00006,LC-5m-E1,0.050357674,5,86666.66667,Bacteria,Cyanobacteria,5.035767406,4364.331752
63,Otu00028,LC-5m-E1,0.04306254,5,86666.66667,Bacteria,Armatimonadetes,4.306253984,3732.086786
24,Otu00003,Cadagno7m-E2,0.370614035,7,157333.3333,Bacteria,Bacteroidetes,37.06140351,58309.94151
18,Otu00002,Cadagno7m-E2,0.317236842,7,157333.3333,Bacteria,Actinobacteria,31.72368421,49911.92981
37,Otu00006,Cadagno7m-E2,0.12254386,7,157333.3333,Bacteria,Cyanobacteria,12.25438596,19280.23391
50,Otu00009,Cadagno7m-E2,0.085087719,7,157333.3333,Bacteria,Verrucomicrobia,8.50877193,13387.1345
8,Otu00001,Cadagno7m-E2,0.073070175,7,157333.3333,Bacteria,Proteobacteria,7.307017544,11496.37427
76,Otu00059,Cadagno7m-E2,0.026315789,7,157333.3333,Bacteria,Chloroflexi,2.631578947,4140.350876
66,Otu00028,Cadagno7m-E2,0.002850877,7,157333.3333,Bacteria,Armatimonadetes,0.285087719,448.5380116
109,Otu00072,Cadagno7m-E2,0.001447368,7,157333.3333,Bacteria,Patescibacteria,0.144736842,227.7192982
22,Otu00003,LC-9m-E1,0.311387509,9,73000,Bacteria,Bacteroidetes,31.13875093,22731.28818
13,Otu00002,LC-9m-E1,0.242077968,9,73000,Bacteria,Actinobacteria,24.20779677,17671.69165
10,Otu00001,LC-9m-E1,0.179141212,9,73000,Bacteria,Proteobacteria,17.91412121,13077.30849
46,Otu00009,LC-9m-E1,0.154309322,9,73000,Bacteria,Verrucomicrobia,15.43093218,11264.58049
33,Otu00006,LC-9m-E1,0.052432646,9,73000,Bacteria,Cyanobacteria,5.243264624,3827.583176
70,Otu00028,LC-9m-E1,0.051905243,9,73000,Bacteria,Armatimonadetes,5.190524326,3789.082758
152,Otu00218,LC-9m-E1,0.003252318,9,73000,Bacteria,Bacteria_unclassified,0.325231838,237.4192414
71,Otu00059,LC-9m-E1,0.002900716,9,73000,Bacteria,Chloroflexi,0.290071639,211.7522964
104,Otu00072,LC-9m-E1,0.001406408,9,73000,Bacteria,Patescibacteria,0.140640795,102.6677801
29,Otu00003,LC-11m-E1,0.305859027,11,104333.3333,Bacteria,Bacteroidetes,30.58590273,31911.29184
16,Otu00002,LC-11m-E1,0.295743303,11,104333.3333,Bacteria,Actinobacteria,29.57433034,30855.88464
39,Otu00006,LC-11m-E1,0.192239217,11,104333.3333,Bacteria,Cyanobacteria,19.22392166,20056.95826
45,Otu00009,LC-11m-E1,0.111879906,11,104333.3333,Bacteria,Verrucomicrobia,11.18799061,11672.80354
2,Otu00001,LC-11m-E1,0.081937363,11,104333.3333,Bacteria,Proteobacteria,8.193736344,8548.798249
74,Otu00059,LC-11m-E1,0.005624342,11,104333.3333,Bacteria,Chloroflexi,0.562434248,586.8063983
110,Otu00072,LC-11m-E1,0.002023145,11,104333.3333,Bacteria,Patescibacteria,0.202314478,211.0814383
146,Otu00141,LC-11m-E1,0.001456664,11,104333.3333,Bacteria,Epsilonbacteraeota,0.145666424,151.9786355
159,Otu00218,LC-11m-E1,0.001173424,11,104333.3333,Bacteria,Bacteria_unclassified,0.117342397,122.4272342
88,Otu00066,LC-11m-E1,0.001011572,11,104333.3333,Bacteria,Planctomycetes,0.101157239,105.5407191
9,Otu00001,LC-13m-E1,0.269228464,13,95333.33333,Bacteria,Proteobacteria,26.92284635,25666.44685
40,Otu00006,LC-13m-E1,0.245668725,13,95333.33333,Bacteria,Cyanobacteria,24.56687249,23420.41844
28,Otu00003,LC-13m-E1,0.213716204,13,95333.33333,Bacteria,Bacteroidetes,21.37162041,20374.27812
15,Otu00002,LC-13m-E1,0.142017865,13,95333.33333,Bacteria,Actinobacteria,14.20178646,13539.03643
48,Otu00009,LC-13m-E1,0.047539116,13,95333.33333,Bacteria,Verrucomicrobia,4.753911636,4532.062426
57,Otu00012,LC-13m-E1,0.036508603,13,95333.33333,Bacteria,Firmicutes,3.65086026,3480.486781
106,Otu00072,LC-13m-E1,0.016785564,13,95333.33333,Bacteria,Patescibacteria,1.678556441,1600.223807
145,Otu00141,LC-13m-E1,0.007793298,13,95333.33333,Bacteria,Epsilonbacteraeota,0.779329776,742.9610535
80,Otu00059,LC-13m-E1,0.005635154,13,95333.33333,Bacteria,Chloroflexi,0.563515377,537.2179925
87,Otu00066,LC-13m-E1,0.004795876,13,95333.33333,Bacteria,Planctomycetes,0.479587555,457.2068021
67,Otu00028,LC-13m-E1,0.003177268,13,95333.33333,Bacteria,Armatimonadetes,0.317726755,302.8995064
129,Otu00100,LC-13m-E1,0.001678556,13,95333.33333,Bacteria,Spirochaetes,0.167855644,160.0223807
197,Otu00363,LC-13m-E1,0.001498711,13,95333.33333,Bacteria,Dependentiae,0.149871111,142.8771257
158,Otu00218,LC-13m-E1,0.001079072,13,95333.33333,Bacteria,Bacteria_unclassified,0.1079072,102.8715305
1,Otu00001,Cadagno15m-E2,0.485522128,15,905000,Bacteria,Proteobacteria,48.55221275,439397.5254
25,Otu00003,Cadagno15m-E2,0.254184208,15,905000,Bacteria,Bacteroidetes,25.41842078,230036.7081
38,Otu00006,Cadagno15m-E2,0.073056782,15,905000,Bacteria,Cyanobacteria,7.305678201,66116.38772
58,Otu00012,Cadagno15m-E2,0.052726153,15,905000,Bacteria,Firmicutes,5.272615258,47717.16809
12,Otu00002,Cadagno15m-E2,0.035989321,15,905000,Bacteria,Actinobacteria,3.598932129,32570.33576
49,Otu00009,Cadagno15m-E2,0.035886641,15,905000,Bacteria,Verrucomicrobia,3.588664134,32477.41041
107,Otu00072,Cadagno15m-E2,0.020792689,15,905000,Bacteria,Patescibacteria,2.079268919,18817.38371
97,Otu00069,Cadagno15m-E2,0.007906356,15,905000,Bacteria,Acidobacteria,0.790635589,7155.252079
83,Otu00066,Cadagno15m-E2,0.007238936,15,905000,Bacteria,Planctomycetes,0.723893624,6551.237293
142,Otu00141,Cadagno15m-E2,0.004671938,15,905000,Bacteria,Epsilonbacteraeota,0.467193757,4228.103501
73,Otu00059,Cadagno15m-E2,0.004107198,15,905000,Bacteria,Chloroflexi,0.410719786,3717.014067
120,Otu00092,Cadagno15m-E2,0.004107198,15,905000,Bacteria,Kiritimatiellaeota,0.410719786,3717.014067
130,Otu00100,Cadagno15m-E2,0.003645138,15,905000,Bacteria,Spirochaetes,0.36451381,3298.849985
155,Otu00218,Cadagno15m-E2,0.002926378,15,905000,Bacteria,Bacteria_unclassified,0.292637848,2648.372523
131,Otu00139,Cadagno15m-E2,0.002669679,15,905000,Bacteria,Omnitrophicaeota,0.266967861,2416.059144
61,Otu00028,Cadagno15m-E2,0.002361639,15,905000,Bacteria,Armatimonadetes,0.236163877,2137.283089
168,Otu00238,Cadagno15m-E2,0.00092412,15,905000,Bacteria,Cloacimonetes,0.092411952,836.3281651
179,Otu00272,Cadagno15m-E2,0.0007701,15,905000,Bacteria,Lentisphaerae,0.07700996,696.9401376
188,Otu00327,Cadagno15m-E2,0.0002567,15,905000,Bacteria,Chlamydiae,0.025669987,232.3133792
