"","Pressure_CTD2_29","Temperature_CTD2_29","Conductivity_CTD2_29","Oxygen_mg_L_CTD2_29","PAR_CTD2_29","Phycocyanin_CTD2_29","Depth_m_CTD2_29"
"392",-1.717,16.0721,0.1385,10.56,754.41693,2.75,0.173
"393",-1.72,16.0725,0.1382,10.56,756.36945,2.58,0.17
"394",-1.722,16.0721,0.1383,10.57,757.39313,2.58,0.168
"395",-1.724,16.0728,0.1382,10.57,757.71509,2.58,0.166
"396",-1.72,16.0726,0.138,10.57,758.36639,2.94,0.17
"397",-1.72,16.0728,0.1381,10.57,761.36328,2.94,0.17
"398",-1.722,16.0723,0.1381,10.57,764.03149,2.94,0.168
"399",-1.724,16.0726,0.138,10.57,764.52893,3.37,0.166
"400",-1.72,16.0723,0.1376,10.57,762.85101,3.37,0.17
"401",-1.719,16.0722,0.1382,10.57,760.94141,3.37,0.171
"402",-1.721,16.0722,0.1382,10.57,759.71051,3.05,0.169
"403",-1.719,16.0723,0.1381,10.57,757.58923,3.05,0.171
"404",-1.717,16.0727,0.1384,10.58,754.89142,3.05,0.173
"405",-1.713,16.0727,0.1376,10.58,751.82715,2.94,0.177
"406",-1.716,16.0725,0.1382,10.59,748.60083,2.94,0.174
"407",-1.719,16.0726,0.1381,10.59,745.9444,2.81,0.171
"408",-1.715,16.0719,0.1383,10.59,743.81573,2.81,0.175
"409",-1.717,16.0724,0.1379,10.59,742.39685,2.81,0.173
"410",-1.717,16.0723,0.1379,10.6,742.25323,2.95,0.173
"411",-1.716,16.0723,0.1376,10.6,741.62189,2.95,0.174
"412",-1.715,16.0724,0.138,10.6,740.07129,2.95,0.175
"413",-1.718,16.0724,0.1381,10.6,737.88336,2.55,0.172
"414",-1.714,16.0723,0.1377,10.6,735.86938,2.55,0.176
"415",-1.718,16.0725,0.138,10.6,734.92499,2.55,0.172
"416",-1.717,16.0725,0.1376,10.6,734.46161,2.94,0.173
"417",-1.716,16.0726,0.138,10.6,733.64825,2.94,0.174
"418",-1.714,16.0731,0.138,10.6,732.125,2.94,0.176
"419",-1.715,16.0734,0.1377,10.6,729.9585,2.76,0.175
"420",-1.715,16.073,0.1377,10.61,728.32581,2.76,0.175
