"","Press..dbar._CTD1_28","Depth_m_CTD1_28","Temp_CTD1_28","pH_CTD1_28","Turb_FTU_CTD1_28","Cond_ms_p_cm_CTD1_28","DO_mg_l_CTD1_28","Chl_A_ug_p_l_CTD1_28"
"117",0.23,2.08,16.06,8.99,0.15,0.1362,9.3,1.01
"118",0.24,2.09,16.06,8.99,0.15,0.1373,9.31,1.01
"119",0.26,2.11,16.06,8.99,0.12,0.1362,9.31,1.02
"120",0.27,2.12,16.06,8.99,0.15,0.1362,9.31,1.04
"121",0.29,2.14,16.06,8.99,0.15,0.1373,9.29,1.04
"122",0.3,2.15,16.06,8.99,0.15,0.1362,9.29,1.03
"123",0.32,2.17,16.06,8.99,0.22,0.1362,9.29,1.03
"124",0.32,2.17,16.06,8.99,0.19,0.1373,9.29,1.01
"125",0.34,2.19,16.06,8.99,0.19,0.1362,9.3,0.98
"126",0.35,2.2,16.06,8.99,0.15,0.1362,9.3,1
"127",0.36,2.21,16.06,8.99,0.25,0.1362,9.3,1.04
"128",0.37,2.22,16.06,8.99,0.19,0.1362,9.3,1.06
"129",0.38,2.23,16.06,8.99,0.15,0.1373,9.31,1.03
"130",0.41,2.26,16.06,8.99,0.19,0.1373,9.3,0.98
"131",0.44,2.29,16.06,8.99,0.19,0.1362,9.3,0.94
"132",0.47,2.32,16.06,8.99,0.19,0.1373,9.3,0.96
"133",0.5,2.35,16.06,8.99,0.15,0.1373,9.29,0.96
"134",0.51,2.36,16.06,8.99,0.15,0.1362,9.29,0.94
"135",0.53,2.38,16.06,8.99,0.12,0.1362,9.3,0.92
"136",0.54,2.39,16.05,8.99,0.12,0.1373,9.3,0.91
"137",0.55,2.4,16.05,8.99,0.12,0.1362,9.3,0.92
"138",0.56,2.41,16.05,8.99,0.15,0.1373,9.31,0.91
"139",0.58,2.43,16.05,8.99,0.15,0.1373,9.31,0.93
"140",0.59,2.44,16.05,8.99,0.12,0.1362,9.29,0.95
"141",0.62,2.47,16.05,8.99,0.15,0.1373,9.29,0.96
"142",0.65,2.5,16.05,8.99,0.19,0.1362,9.29,0.97
"143",0.68,2.53,16.05,8.99,0.19,0.1373,9.29,1
"144",0.69,2.54,16.05,8.99,0.25,0.1373,9.29,1.02
"145",0.71,2.56,16.05,8.99,0.25,0.1362,9.29,1.02
"146",0.72,2.57,16.05,8.99,0.19,0.1362,9.3,1
"147",0.73,2.58,16.05,9,0.19,0.1362,9.3,0.98
"148",0.74,2.59,16.05,9,0.19,0.1373,9.3,0.94
"149",0.75,2.6,16.05,9,0.15,0.1362,9.3,0.92
"150",0.77,2.62,16.05,9,0.15,0.1362,9.29,0.96
"151",0.79,2.64,16.04,9,0.15,0.1373,9.29,1.05
"152",0.82,2.67,16.04,9,0.15,0.1362,9.28,1.07
"153",0.86,2.71,16.05,9,0.15,0.1362,9.28,1.07
"154",0.88,2.73,16.04,9,0.15,0.1373,9.28,1.07
"155",0.88,2.73,16.04,9,0.15,0.1362,9.28,1.06
"156",0.88,2.73,16.04,9,0.12,0.1373,9.28,1.04
"157",0.88,2.73,16.04,9,0.12,0.1362,9.28,1.1
"158",0.88,2.73,16.04,9,0.15,0.1362,9.28,1.15
"159",0.89,2.74,16.04,9,0.15,0.1373,9.29,1.12
"160",0.9,2.75,16.04,9,0.15,0.1373,9.28,1.09
"161",0.9,2.75,16.04,9,0.15,0.1362,9.29,1.05
"162",0.91,2.76,16.04,9,0.19,0.1373,9.29,1.01
"163",0.92,2.77,16.04,9,0.15,0.1373,9.27,0.98
"164",0.93,2.78,16.04,9,0.19,0.1373,9.27,0.95
"165",0.93,2.78,16.04,9,0.15,0.1373,9.27,0.92
"166",0.94,2.79,16.04,9,0.15,0.1373,9.27,0.9
"167",0.96,2.81,16.03,9,0.15,0.1373,9.27,0.91
"168",0.98,2.83,16.03,9,0.19,0.1373,9.27,0.95
"169",0.99,2.84,16.03,9,0.19,0.1373,9.28,0.95
"170",0.99,2.84,16.03,9,0.22,0.1373,9.28,0.95
"171",1.01,2.86,16.03,9,0.22,0.1362,9.28,0.98
"172",1.02,2.87,16.03,9,0.19,0.1362,9.26,0.98
"173",1.03,2.88,16.03,9,0.22,0.1373,9.26,0.98
"174",1.04,2.89,16.03,9,0.19,0.1373,9.26,1
"175",1.06,2.91,16.03,9,0.19,0.1362,9.26,1
"176",1.06,2.91,16.03,9,0.19,0.1362,9.26,0.98
"177",1.07,2.92,16.03,9.01,0.22,0.1362,9.26,0.94
"178",1.08,2.93,16.03,9.01,0.25,0.1362,9.26,0.92
