Press..dbar._CTD1_28,Depth_m_CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28
1.52,3.37,15.88,9,0.19,0.1362,9.21,1.06
1.53,3.38,15.88,9,0.15,0.1362,9.21,1.02
1.54,3.39,15.88,9,0.15,0.1362,9.21,0.97
1.56,3.41,15.88,9,0.15,0.1362,9.2,0.93
1.57,3.42,15.87,9,0.15,0.1362,9.21,0.91
1.58,3.43,15.87,9,0.15,0.1362,9.21,0.9
1.6,3.45,15.87,9,0.19,0.1362,9.2,0.9
1.6,3.45,15.87,9,0.15,0.1362,9.2,0.88
1.61,3.46,15.87,9,0.15,0.1351,9.19,0.89
1.62,3.47,15.87,9,0.15,0.1362,9.19,0.93
1.63,3.48,15.87,9,0.19,0.1362,9.2,1
1.64,3.49,15.87,9,0.15,0.1362,9.2,1.02
1.65,3.5,15.87,9,0.15,0.1362,9.19,1.03
1.66,3.51,15.87,9,0.12,0.1362,9.19,1
1.67,3.52,15.87,9,0.15,0.1362,9.19,1.02
1.67,3.52,15.87,9,0.12,0.1362,9.2,1.06
1.69,3.54,15.87,9,0.12,0.1362,9.18,1.03
1.7,3.55,15.87,9,0.12,0.1362,9.18,0.99
1.71,3.56,15.87,9,0.12,0.1373,9.18,1.01
1.72,3.57,15.87,9,0.12,0.1362,9.17,1.04
1.74,3.59,15.87,9,0.15,0.1362,9.17,1.04
1.75,3.6,15.87,9,0.19,0.1362,9.18,1.03
1.76,3.61,15.87,9,0.15,0.1362,9.18,1.04
1.77,3.62,15.87,9,0.12,0.1362,9.18,1.09
1.78,3.63,15.87,9,0.12,0.1362,9.18,1.1
1.79,3.64,15.87,9,0.15,0.1362,9.17,1.11
1.8,3.65,15.87,9,0.15,0.1362,9.17,1.13
1.81,3.66,15.87,9,0.15,0.1362,9.17,1.08
1.81,3.66,15.87,9,0.15,0.1362,9.17,1.11
